,Weeknum,Total GMV,Total Purchased GMV,Manual GMV Purchases,Partner GMV Purchases,% Manual,% Partner,Total Creators,Creators joining Last 7 Days,Creators joining Last 30 Days,Aggregate Wishlist Items Value,Wishlist Manual Items Value,Wishlist Partner Items Value,% Manual,% Partner,% Wishlist Conversion,I,#,Top 25 Creators by GMV,0,Total Creator GMV,% of Total GMV by Creator,Weekly GMV Change,Weekly GMV % Change,Top 10 Creators by GMV Increases,I,#,Top 25 Non-Partner Items by GMV,GMV,Change in GMV,Change as a %,Change in Quantity,Change as a %,,#,Top 25 Partner Items by GMV,GMV,Change in GMV,Change as a %,Change in Quantity,Change as a %
Week 30,30, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,23,Jessica,24," $8,693.94 ",0.2%, $47.82 ,0.6%,0,I,23,Louis Vuitton Speedy 25,3035.2,New Entry,New Entry,New Entry,New Entry,,23,Fishy Naughty Neko Hoodie ?????? by Kokoro,584.91,New Entry,New Entry,New Entry,New Entry
Week 31,31, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,24,Lucie,25," $8,621.71 ",0.2%, $102.81 ,1.2%,0,I,24,Lambskin Quilted Mini Chain Belt Bag Black,3018.4,0,0,0,0,,24,LED Light Tape by Viral Lights,575.68,New Entry,New Entry,New Entry,New Entry
Week 32,32, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,25,Goddess Heather ,26," $8,561.09 ",0.2%, $66.28 ,0.8%,0,I,25,Mario Party Superstars - Nintendo Switch,3011.4,New Entry,New Entry,New Entry,New Entry,,25,Boba Plushie XL ? by Subtle Asian Treats,574.77,24.99,0.045454545,1,0.045454545
Week 33,33, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 34,34, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 35,35, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 36,36, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 37,37, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 38,38, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 39,39, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 40,40, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 41,41, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 42,42, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 43,43, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 44,44, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 45,45, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 46,46, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 47,47, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 48,48, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 49,49, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 50,50, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 51,51, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
Week 52,52, $-   , $-   , $-   , $-   ,,, -   , -   , -   , $-   , $-   , $-   ,,,0.0%,I,,,,,,,,,I,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,I,,,,,,,,,I,,,,,,,,,,,,,,,
,Reference:,j1,n4,n2,n3,,,j2,j6,j5,ac4,ac2,ac3,,,ac7,,,,,,,,,,,,,,,,,,,,,,,,,
